weapon,weaponId,cls,primitive,fields,currentValue,sourceVersion,currentStatus,plausibleUncertainty,scenariosProbed,top3Changes,winnerFlips,optimizedBuildFlips,baselineWins,baselineTop3Appearances,priorityScore
"M87A1","m87a1","Shotgun","recoilVariationDeg","recoilVar","recoilVar=12","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M87A1","m87a1","Shotgun","effectiveAdsSpreadDeg","spreadMax","spreadMax=5","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"Mini Scout","miniscout","Sniper Rifle","recoil","recoilV","recoilV=1","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"Mini Scout","miniscout","Sniper Rifle","recoilVariationDeg","recoilVar","recoilVar=5","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"Mini Scout","miniscout","Sniper Rifle","effectiveAdsSpreadDeg","spreadMax","spreadMax=7","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"NVO-228E","nvo228e","Assault Rifle","recoil","recoilV","recoilV=0.7326801731267338","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"NVO-228E","nvo228e","Assault Rifle","recoilVariationDeg","recoilVar","recoilVar=28.9","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"NVO-228E","nvo228e","Assault Rifle","effectiveAdsSpreadDeg","spreadMax","spreadMax=7","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"PP-19","pp19","SMG","recoilVariationDeg","recoilVar","recoilVar=18","1.3.3.0 (pinned Sym.gg game-file snapshot)","MISSING","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"PP-19","pp19","SMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","MISSING","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"PSR","psr","Sniper Rifle","recoilVariationDeg","recoilVar","recoilVar=12","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,1,0
"PSR","psr","Sniper Rifle","effectiveAdsSpreadDeg","spreadMax","spreadMax=11","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,1,0
"PW5A3","pw5a3","SMG","recoil","recoilV","recoilV=0.5635141243555819","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"PW5A3","pw5a3","SMG","recoilVariationDeg","recoilVar","recoilVar=28.3","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"PW5A3","pw5a3","SMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"PW7A2","pw7a2","SMG","recoilVariationDeg","recoilVar","recoilVar=27.8","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"PW7A2","pw7a2","SMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"QBZ-192","qbz192","Carbine","recoil","recoilV","recoilV=0.7716257185185186","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"QBZ-192","qbz192","Carbine","recoilVariationDeg","recoilVar","recoilVar=19.9","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"QBZ-192","qbz192","Carbine","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"RPK-74M","rpk74m","LMG","recoilVariationDeg","recoilVar","recoilVar=16.1","1.3.3.0 (pinned Sym.gg game-file snapshot)","MISSING","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"RPK-74M","rpk74m","LMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=9","1.3.3.0 (pinned Sym.gg game-file snapshot)","MISSING","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"RPKM","rpkm","LMG","recoil","recoilV","recoilV=0.6552679088502079","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"RPKM","rpkm","LMG","recoilVariationDeg","recoilVar","recoilVar=17.5","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"RPKM","rpkm","LMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=9","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SCW-10","scw10","SMG","recoil","recoilV","recoilV=0.7124297727932585","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SCW-10","scw10","SMG","recoilVariationDeg","recoilVar","recoilVar=33.5","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SCW-10","scw10","SMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SG 553R","sg553r","Carbine","recoil","recoilV","recoilV=0.826647274688653","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SG 553R","sg553r","Carbine","recoilVariationDeg","recoilVar","recoilVar=35.8","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SG 553R","sg553r","Carbine","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SGX","sgx","SMG","recoil","recoilV","recoilV=0.6011482210263789","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SGX","sgx","SMG","recoilVariationDeg","recoilVar","recoilVar=31.7","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SGX","sgx","SMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SL9","sl9","SMG","recoilVariationDeg","recoilVar","recoilVar=13","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SL9","sl9","SMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SOR-300SC","sor300sc","Carbine","recoil","recoilV","recoilV=0.7416865095483536","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SOR-300SC","sor300sc","Carbine","recoilVariationDeg","recoilVar","recoilVar=15.8","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SOR-300SC","sor300sc","Carbine","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SOR-556 MK2","sor556","Assault Rifle","recoilVariationDeg","recoilVar","recoilVar=12.7","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SOR-556 MK2","sor556","Assault Rifle","effectiveAdsSpreadDeg","spreadMax","spreadMax=7","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SV-98","sv98","Sniper Rifle","recoil","recoilV","recoilV=1.25","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SV-98","sv98","Sniper Rifle","recoilVariationDeg","recoilVar","recoilVar=10","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SV-98","sv98","Sniper Rifle","effectiveAdsSpreadDeg","spreadMax","spreadMax=9","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SVDM","svdm","DMR","recoil","recoilV","recoilV=1.5651637883705927","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SVDM","svdm","DMR","recoilVariationDeg","recoilVar","recoilVar=10","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SVDM","svdm","DMR","effectiveAdsSpreadDeg","spreadMax","spreadMax=9","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SVK-8.6","svk86","DMR","recoil","recoilV","recoilV=3.00993036225114","1.3.3.0 (pinned Sym.gg game-file snapshot)","STALE_NEEDS_RECHECK","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SVK-8.6","svk86","DMR","recoilVariationDeg","recoilVar","recoilVar=20","1.3.3.0 (pinned Sym.gg game-file snapshot)","STALE_NEEDS_RECHECK","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"SVK-8.6","svk86","DMR","effectiveAdsSpreadDeg","spreadMax","spreadMax=9","1.3.3.0 (pinned Sym.gg game-file snapshot)","STALE_NEEDS_RECHECK","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"TR-7","tr7","Assault Rifle","recoil","recoilV","recoilV=1.1595971107513876","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"TR-7","tr7","Assault Rifle","recoilVariationDeg","recoilVar","recoilVar=40.8","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"TR-7","tr7","Assault Rifle","effectiveAdsSpreadDeg","spreadMax","spreadMax=7","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"UMG-40","umg40","SMG","recoil","recoilV","recoilV=0.6022807459596908","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"UMG-40","umg40","SMG","recoilVariationDeg","recoilVar","recoilVar=13","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"UMG-40","umg40","SMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"USG-90","usg90","SMG","recoil","recoilV","recoilV=0.5471688016080739","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"USG-90","usg90","SMG","recoilVariationDeg","recoilVar","recoilVar=35.5","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"USG-90","usg90","SMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"VCR-2","vcr2","Assault Rifle","recoil","recoilV","recoilV=0.8205740274617134","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"VCR-2","vcr2","Assault Rifle","recoilVariationDeg","recoilVar","recoilVar=50.3","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"VCR-2","vcr2","Assault Rifle","effectiveAdsSpreadDeg","spreadMax","spreadMax=7","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"VSSM","vssm","DMR","recoil","recoilV","recoilV=0.799909248014769","1.3.3.0 (pinned Sym.gg game-file snapshot)","PROVISIONAL","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"VSSM","vssm","DMR","recoilVariationDeg","recoilVar","recoilVar=45","1.3.3.0 (pinned Sym.gg game-file snapshot)","PROVISIONAL","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"VSSM","vssm","DMR","effectiveAdsSpreadDeg","spreadMax","spreadMax=9","1.3.3.0 (pinned Sym.gg game-file snapshot)","PROVISIONAL","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
